Hotel Name,Address,Room Type,Room Price Detail
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],デラックスキング（禁煙）,"['ポイント15%分利用で86,020円～2名税込73,120円～詳細･予約', 'ポイント23%分利用+割引で140,668円～朝食付2名税込94,253円～詳細･予約', 'ポイント20%分利用+割引で170,178円～夕食付2名税込118,455円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],デラックスキング with バルコニー（禁煙）,"['ポイント20%分利用+割引で129,030円～2名税込98,079円～詳細･予約', 'ポイント23%分利用+割引で163,438円～朝食付2名税込109,509円～詳細･予約', 'ポイント20%分利用+割引で192,870円～夕食付2名税込134,257円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],デラックスツイン with バルコニー（禁煙）,"['ポイント20%分利用+割引で129,030円～2名税込98,079円～詳細･予約', 'ポイント23%分利用+割引で163,438円～朝食付2名税込109,509円～詳細･予約', 'ポイント20%分利用+割引で192,870円～夕食付2名税込134,257円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],グランドデラックスツイン（禁煙）,"['ポイント15%分利用で137,886円～2名税込117,216円～詳細･予約', 'ポイント23%分利用+割引で182,414円～朝食付2名税込122,200円～詳細･予約', 'ポイント20%分利用+割引で204,216円～夕食付2名税込142,148円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],クラブデラックスツイン with バルコニー（禁煙）,"['ポイント23%分利用+割引で178,366円～朝食付2名税込119,506円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],クラブデラックスキング with バルコニー（禁煙）,"['ポイント23%分利用+割引で178,366円～朝食付2名税込119,506円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],クラブグランドデラックスツイン（禁煙）,"['ポイント23%分利用+割引で193,546円～朝食付2名税込129,677円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],グランドデラックスキング with バルコニー（禁煙）,"['ポイント20%分利用+割引で189,750円～2名税込132,083円～詳細･予約', 'ポイント20%分利用+割引で201,388円～朝食付2名税込140,168円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],クラブグランドデラックスキング with バルコニー（禁煙）,"['ポイント20%分利用+割引で215,050円～朝食付2名税込149,694円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],エグゼクティブスイート（キング）,"['ポイント20%分利用+割引で278,300円～朝食付2名税込193,701円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],ガーデンスイート（キング）,"['ポイント20%分利用+割引で379,500円～朝食付2名税込264,145円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],プレミアスイート（キング）,"['ポイント20%分利用+割引で379,500円～朝食付2名税込264,145円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],プレミアスイート （ツイン）,"['ポイント20%分利用+割引で379,500円～朝食付2名税込264,145円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],千代田スイート（ツイン）,"['ポイント15%分利用で392,150円～朝食付2名税込333,335円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],パークスイート（ツイン）,"['ポイント20%分利用+割引で480,700円～朝食付2名税込334,569円～詳細･予約']"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],テラススイート（都内最大 約40平米のテラス付）,"['ポイント20%分利用+割引で607,200円～朝食付2名税込422,624円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],スーペリアルーム（52平米/2-4階）＜眺望指定なし＞,"['ポイント15%分利用で45,560円～朝食付2名税込38,735円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],スーペリアルーム（52平米/5-8階）＜サンセットビュー＞,"['ポイント15%分利用で48,780円～朝食付2名税込41,475円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],デラックスルーム＜テラスジャグジー付＞,"['ポイント15%分利用で51,340円～朝食付2名税込43,645円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],スーペリアルーム（52平米/5-8階）＜オーシャンビュー＞,"['ポイント15%分利用で54,560円～朝食付2名税込46,385円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],ジュニアスイート＜デイベッド・テラスジャグジー付＞,"['ポイント15%分利用で57,460円～朝食付2名税込48,850円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],デラックススイート1ベッドルーム＜テラスジャグジー付＞,"['ポイント15%分利用で63,920円～朝食付2名税込54,335円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],プールヴィラプレミア1F　温水プライベートプール・ラウンジ,"['ポイント15%分利用で63,920円～朝食付2名税込54,335円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],【ドッグフレンドリールーム】プールヴィラプレミア1F,"['ポイント15%分利用で63,920円～朝食付2名税込54,335円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],プールヴィラプレミア2F　温水プライベートプール・ラウンジ,"['ポイント15%分利用で73,940円～朝食付2名税込62,855円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],ファミリープールスイート＜お子様用プライベートプール付＞,"['ポイント15%分利用で78,400円～朝食付2名税込66,640円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],ミラージュフロア・デラックススイート＜ラウンジ利用付＞,"['ポイント15%分利用で80,740円～朝食付2名税込68,635円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],デラックススイート2ベッドルーム＜ジャグジー付＞,"['ポイント15%分利用で90,240円～朝食付2名税込76,710円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],デラックススイート2ベッドルームデイベッド付＜ジャグジー付＞,"['ポイント15%分利用で90,240円～朝食付2名税込76,710円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],ミラージュフロア・プレミアスイート＜ラウンジ利用付＞,"['ポイント15%分利用で94,420円～朝食付2名税込80,260円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],プールヴィラプレミア メゾネット　温水プライベートプール付,"['ポイント15%分利用で94,420円～朝食付2名税込80,260円～詳細･予約']"
ホテルシギラミラージュ,沖縄県・宮古島市 [全160室],ミラージュフロア・ガーデンプールスイート＜ラウンジ利用付＞,"['ポイント15%分利用で109,000円～朝食付2名税込92,650円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム低層階（洋タイプ）3名定員,"['ポイント2%分利用で92,400円～朝食付2名税込90,552円～詳細･予約', 'ポイント2%分利用で93,060円～夕朝食付2名税込91,200円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム低層階（洋タイプ）4名定員,"['ポイント2%分利用で92,400円～朝食付2名税込90,552円～詳細･予約', 'ポイント2%分利用で99,000円～夕朝食付2名税込97,020円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム低層階（和タイプ）2名定員,"['ポイント2%分利用で93,060円～夕朝食付2名税込91,200円～詳細･予約', 'ポイント2%分利用で105,600円～朝食付2名税込103,488円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム低層階（和タイプ）4名定員,"['ポイント2%分利用で93,060円～夕朝食付2名税込91,200円～詳細･予約', 'ポイント2%分利用で105,600円～朝食付2名税込103,488円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム低層階（洋タイプ）2名定員,"['ポイント2%分利用で93,060円～夕朝食付2名税込91,200円～詳細･予約', 'ポイント2%分利用で99,000円～朝食付2名税込97,020円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム低層階（和タイプ）3名定員,"['ポイント2%分利用で99,000円～朝食付2名税込97,020円～詳細･予約', 'ポイント2%分利用で104,940円～夕朝食付2名税込102,842円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム高層階（和タイプ）2名定員,"['ポイント2%分利用で102,960円～夕朝食付2名税込100,902円～詳細･予約', 'ポイント2%分利用で110,000円～朝食付2名税込107,800円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム高層階（和タイプ）3名定員,"['ポイント2%分利用で102,960円～夕朝食付2名税込100,902円～詳細･予約', 'ポイント2%分利用で116,600円～朝食付2名税込114,268円～詳細･予約']"
熱海・伊豆山 佳ら久（ORIX HOTELS＆RESORTS）,静岡県・熱海・伊豆山  / 熱海温泉[全57室],デラックスルーム高層階（和タイプ）4名定員,"['ポイント2%分利用で102,960円～夕朝食付2名税込100,902円～詳細･予約', 'ポイント2%分利用で116,600円～朝食付2名税込114,268円～詳細･予約']"
